collectTime,metrisValue
2020/3/17 23:11,940
2020/3/17 23:21,1025
2020/3/17 23:31,1159
2020/3/17 23:41,1202
2020/3/17 23:51,1265
2020/3/18 0:01,1313
2020/3/18 0:11,1528
2020/3/18 0:21,1660
2020/3/18 0:31,1627
2020/3/18 0:41,1700
2020/3/18 0:51,1805
2020/3/18 1:01,1957
2020/3/18 1:11,2016
2020/3/18 1:21,2183
2020/3/18 1:31,2244
2020/3/18 1:41,2445
2020/3/18 1:51,2635
2020/3/18 2:01,2566
2020/3/18 2:11,2872
2020/3/18 2:21,2596
2020/3/18 2:31,2707
2020/3/18 2:41,2721
2020/3/18 2:51,2693
2020/3/18 3:01,2556
2020/3/18 3:11,2656
2020/3/18 3:21,2603
2020/3/18 3:31,2573
2020/3/18 3:41,2586
2020/3/18 3:51,2321
2020/3/18 4:01,2327
2020/3/18 4:11,2281
2020/3/18 4:21,2157
2020/3/18 4:31,2228
2020/3/18 4:41,2332
2020/3/18 4:51,2163
2020/3/18 5:01,2187
2020/3/18 5:11,2159
2020/3/18 5:21,2130
2020/3/18 5:31,2036
2020/3/18 5:41,1978
2020/3/18 5:51,1983
2020/3/18 6:01,2013
2020/3/18 6:11,2145
2020/3/18 6:21,2117
2020/3/18 6:31,2047
2020/3/18 6:41,2123
2020/3/18 6:51,2120
2020/3/18 7:01,2072
2020/3/18 7:11,2306
2020/3/18 7:21,2282
2020/3/18 7:31,2088
2020/3/18 7:41,2068
2020/3/18 7:51,2088
2020/3/18 8:01,2062
2020/3/18 8:11,2277
2020/3/18 8:21,1992
2020/3/18 8:31,2072
2020/3/18 8:41,2000
2020/3/18 8:51,2267
2020/3/18 9:01,2021
2020/3/18 9:11,2183
2020/3/18 9:21,1893
2020/3/18 9:31,1928
2020/3/18 9:41,1862
2020/3/18 9:51,1925
2020/3/18 10:01,1898
2020/3/18 10:11,1693
2020/3/18 10:21,1593
2020/3/18 10:31,1702
2020/3/18 10:41,1664
2020/3/18 10:51,1655
2020/3/18 11:01,1705
2020/3/18 11:11,1725
2020/3/18 11:21,1806
2020/3/18 11:31,1830
2020/3/18 11:41,1829
2020/3/18 11:51,1785
2020/3/18 12:01,1698
2020/3/18 12:11,1681
2020/3/18 12:21,1719
2020/3/18 12:31,1654
2020/3/18 12:41,1616
2020/3/18 12:51,1670
2020/3/18 13:01,1504
2020/3/18 13:11,1550
2020/3/18 13:21,1465
2020/3/18 13:31,1398
2020/3/18 13:41,1414
2020/3/18 13:51,1343
2020/3/18 14:01,1266
2020/3/18 14:11,1250
2020/3/18 14:21,1144
2020/3/18 14:31,1097
2020/3/18 14:41,1084
2020/3/18 14:51,988
2020/3/18 15:01,1001
2020/3/18 15:11,811
2020/3/18 15:21,786
2020/3/18 15:31,753
2020/3/18 15:41,615
2020/3/18 15:51,605
2020/3/18 16:01,541
2020/3/18 16:11,669
2020/3/18 16:21,693
2020/3/18 16:31,653
2020/3/18 16:41,620
2020/3/18 16:51,487
2020/3/18 17:01,482
2020/3/18 17:11,440
2020/3/18 17:21,387
2020/3/18 17:31,286
2020/3/18 17:41,258
2020/3/18 17:51,233
2020/3/18 18:01,229
2020/3/18 18:11,180
2020/3/18 18:21,172
2020/3/18 18:31,137
2020/3/18 18:41,164
2020/3/18 18:51,137
2020/3/18 19:01,128
2020/3/18 19:11,133
2020/3/18 19:21,107
2020/3/18 19:31,95
2020/3/18 19:41,134
2020/3/18 19:51,114
2020/3/18 20:01,124
2020/3/18 20:11,111
2020/3/18 20:21,103
2020/3/18 20:31,111
2020/3/18 20:41,107
2020/3/18 20:51,128
2020/3/18 21:01,130
2020/3/18 21:11,132
2020/3/18 21:21,135
2020/3/18 21:31,166
2020/3/18 21:41,197
2020/3/18 21:51,207
2020/3/18 22:01,237
2020/3/18 22:11,288
2020/3/18 22:21,374
2020/3/18 22:31,499
2020/3/18 22:41,516
2020/3/18 22:51,621
2020/3/18 23:01,715
2020/3/18 23:11,886
2020/3/18 23:21,979
2020/3/18 23:31,1060
2020/3/18 23:41,1111
2020/3/18 23:51,1039
2020/3/19 0:01,1208
2020/3/19 0:11,1487
2020/3/19 0:21,1433
2020/3/19 0:31,1546
2020/3/19 0:41,1711
2020/3/19 0:51,1632
2020/3/19 1:01,1830
2020/3/19 1:11,2003
2020/3/19 1:21,2144
2020/3/19 1:31,2190
2020/3/19 1:41,2378
2020/3/19 1:51,2279
2020/3/19 2:01,2462
2020/3/19 2:11,2616
2020/3/19 2:21,2388
2020/3/19 2:31,2382
2020/3/19 2:41,2422
2020/3/19 2:51,2319
2020/3/19 3:01,2210
2020/3/19 3:11,2416
2020/3/19 3:21,2447
2020/3/19 3:31,2296
2020/3/19 3:41,2471
2020/3/19 3:51,2393
2020/3/19 4:01,2368
2020/3/19 4:11,2167
2020/3/19 4:21,2169
2020/3/19 4:31,2670
2020/3/19 4:41,2670
2020/3/19 4:51,2107
2020/3/19 5:01,2155
2020/3/19 5:11,2093
2020/3/19 5:21,1924
2020/3/19 5:31,2043
2020/3/19 5:41,1888
2020/3/19 5:51,1964
2020/3/19 6:01,1952
2020/3/19 6:11,1979
2020/3/19 6:21,2057
2020/3/19 6:31,1963
2020/3/19 6:41,2055
2020/3/19 6:51,1993
2020/3/19 7:01,1895
2020/3/19 7:11,1990
2020/3/19 7:21,2008
2020/3/19 7:31,2037
2020/3/19 7:41,1913
2020/3/19 7:51,2103
2020/3/19 8:01,2060
2020/3/19 8:11,1933
2020/3/19 8:21,2067
2020/3/19 8:31,2095
2020/3/19 8:41,1970
2020/3/19 8:51,2015
2020/3/19 9:01,2090
2020/3/19 9:11,2072
2020/3/19 9:21,2044
2020/3/19 9:31,2060
2020/3/19 9:41,1954
2020/3/19 9:51,1880
2020/3/19 10:01,1858
2020/3/19 10:11,1774
2020/3/19 10:21,1807
2020/3/19 10:31,1773
2020/3/19 10:41,1871
2020/3/19 10:51,1734
2020/3/19 11:01,1794
2020/3/19 11:11,1862
2020/3/19 11:21,1847
2020/3/19 11:31,
2020/3/19 11:41,1802
2020/3/19 11:51,1720
2020/3/19 12:01,1709
2020/3/19 12:11,1691
2020/3/19 12:21,1672
2020/3/19 12:31,1669
2020/3/19 12:41,1723
2020/3/19 12:51,1574
2020/3/19 13:01,1501
2020/3/19 13:11,1456
2020/3/19 13:21,1348
2020/3/19 13:31,1396
2020/3/19 13:41,1379
2020/3/19 13:51,1344
2020/3/19 14:01,
2020/3/19 14:11,1253
2020/3/19 14:21,1131
2020/3/19 14:31,1122
2020/3/19 14:41,1071
2020/3/19 14:51,943
2020/3/19 15:01,974
2020/3/19 15:11,796
2020/3/19 15:21,761
2020/3/19 15:31,675
2020/3/19 15:41,514
2020/3/19 15:51,498
2020/3/19 16:01,448
2020/3/19 16:11,516
2020/3/19 16:21,406
2020/3/19 16:31,
2020/3/19 16:41,398
2020/3/19 16:51,373
2020/3/19 17:01,335
2020/3/19 17:11,312
2020/3/19 17:21,265
2020/3/19 17:31,251
2020/3/19 17:41,247
2020/3/19 17:51,276
2020/3/19 18:01,193
2020/3/19 18:11,323
2020/3/19 18:21,298
2020/3/19 18:31,263
2020/3/19 18:41,201
2020/3/19 18:51,166
2020/3/19 19:01,169
2020/3/19 19:11,118
2020/3/19 19:21,98
2020/3/19 19:31,122
2020/3/19 19:41,130
2020/3/19 19:51,114
2020/3/19 20:01,116
2020/3/19 20:11,123
2020/3/19 20:21,100
2020/3/19 20:31,118
2020/3/19 20:41,126
2020/3/19 20:51,126
2020/3/19 21:01,118
2020/3/19 21:11,134
2020/3/19 21:21,166
2020/3/19 21:31,158
2020/3/19 21:41,194
2020/3/19 21:51,197
2020/3/19 22:01,258
2020/3/19 22:11,304
2020/3/19 22:21,364
2020/3/19 22:31,433
2020/3/19 22:41,506
2020/3/19 22:51,622
2020/3/19 23:01,698
2020/3/19 23:11,874
2020/3/19 23:21,1014
2020/3/19 23:31,1105
2020/3/19 23:41,1195
2020/3/19 23:51,1271
2020/3/20 0:01,1262
2020/3/20 0:11,1450
2020/3/20 0:21,1648
2020/3/20 0:31,1609
2020/3/20 0:41,1623
2020/3/20 0:51,1803
2020/3/20 1:01,1912
2020/3/20 1:11,2793
2020/3/20 1:21,3038
2020/3/20 1:31,2692
2020/3/20 1:41,2555
2020/3/20 1:51,2707
2020/3/20 2:01,2844
2020/3/20 2:11,3108
2020/3/20 2:21,3060
2020/3/20 2:31,2735
2020/3/20 2:41,2734
2020/3/20 2:51,2809
2020/3/20 3:01,2554
2020/3/20 3:11,2810
2020/3/20 3:21,2753
2020/3/20 3:31,2569
2020/3/20 3:41,2429
2020/3/20 3:51,2535
2020/3/20 4:01,2323
2020/3/20 4:11,2301
2020/3/20 4:21,2301
2020/3/20 4:31,2251
2020/3/20 4:41,2272
2020/3/20 4:51,2184
2020/3/20 5:01,2172
2020/3/20 5:11,2245
2020/3/20 5:21,2229
2020/3/20 5:31,3060
2020/3/20 5:41,2398
2020/3/20 5:51,2270
2020/3/20 6:01,2292
2020/3/20 6:11,2520
2020/3/20 6:21,2502
2020/3/20 6:31,2264
2020/3/20 6:41,2498
2020/3/20 6:51,2349
2020/3/20 7:01,2235
2020/3/20 7:11,2286
2020/3/20 7:21,2273
2020/3/20 7:31,2270
2020/3/20 7:41,2176
2020/3/20 7:51,2183
2020/3/20 8:01,2320
2020/3/20 8:11,2239
2020/3/20 8:21,2202
2020/3/20 8:31,2086
2020/3/20 8:41,2040
2020/3/20 8:51,2136
2020/3/20 9:01,1971
2020/3/20 9:11,2120
2020/3/20 9:21,2041
2020/3/20 9:31,2042
2020/3/20 9:41,1927
2020/3/20 9:51,1935
2020/3/20 10:01,1961
2020/3/20 10:11,1848
2020/3/20 10:21,1762
2020/3/20 10:31,1654
2020/3/20 10:41,1751
2020/3/20 10:51,1764
2020/3/20 11:01,1686
2020/3/20 11:11,1904
2020/3/20 11:21,2486
2020/3/20 11:31,2416
2020/3/20 11:41,2513
2020/3/20 11:51,2442
2020/3/20 12:01,3085
2020/3/20 12:11,2646
2020/3/20 12:21,2275
2020/3/20 12:31,2036
2020/3/20 12:41,2030
2020/3/20 12:51,1997
2020/3/20 13:01,2266
2020/3/20 13:11,1985
2020/3/20 13:21,1834
2020/3/20 13:31,1747
2020/3/20 13:41,1688
2020/3/20 13:51,1509
2020/3/20 14:01,1379
2020/3/20 14:11,1349
2020/3/20 14:21,1241
2020/3/20 14:31,1141
2020/3/20 14:41,1170
2020/3/20 14:51,1042
2020/3/20 15:01,936
2020/3/20 15:11,949
2020/3/20 15:21,832
